Greg LeMond,USA,3
Firmin Lambot,BEL,2
Bernard Hinault,FRA,5
Gino Bartali,ITA,2
Sylvere Maes,BEL,2
Nicolas Frantz,LUX,2
Fausto Coppi,ITA,2
Miguel Indurain,ESP,5
Ottavio Bottecchia,ITA,2
Lucien Petit-Breton,FRA,2
Bernard Thevenet,FRA,2
Antonin Magne,FRA,2
Alberto Contador,ESP,2
Eddy Merckx,BEL,5
Philippe Thys,BEL,3
Jacques Anquetil,FRA,5
Louison Bobet,FRA,3
Andre Leducq,FRA,2
Laurent Fignon,FRA,2
